survey_name,accepted_name,common,kingdom,phylum,class,order,family,genus,rank,worms_id,SpecCode,filtercat,,,,,,,
Lycodapus mandibularis,Lycodapus mandibularis,Pallid eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodapus,Species,279391,3134,Species,,,,,,,
Lycodapus parviceps,Lycodapus parviceps,Smallhead eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodapus,Species,279393,3135,Species,,,,,,,
Lycodapus poecilus,Lycodapus poecilus,variform eelpout,NA,NA,NA,NA,NA,NA,Species,279394,NA,Species,,,,,,,
Lycodapus psarostomatus,Lycodapus psarostomatus,specklemouth eelpout,NA,NA,NA,NA,NA,NA,Species,279395,NA,Species,,,,,,,
Lycodes,Lycodes,NA,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Genus,126104,NA,remove,,,,,,,
Lycodes sp.,Lycodes,NA,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Genus,126104,NA,remove,,,,,,,
Lycodes akuugun,Lycodes akuugun,Bicolor eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,274091,62972,Species,,,,,,,
Lycodes beringi,Lycodes beringi,Bering eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,398582,64886,Species,,,,,,,
Lycodes brevipes,Lycodes brevipes,Shortfin eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,254595,3136,Species,,,,,,,
Lycodes concolor,Lycodes concolor,Ebony eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,367289,48216,Species,,,,,,,
Lycodes cortezianus,Lycodes cortezianus,Bigfin eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,274097,3129,Species,,,,,,,
Lycodes diapterus,Lycodes diapterus,Black eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,254597,3137,Species,,,,,,,
Lycodes mucosus,Lycodes mucosus,Saddled eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,254584,27463,Species,,,,,,,
Lycodes pacificus,Lycodes pacificus,Blackbelly eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,274116,3147,Species,,,,,,,
Lycodes palearis,Lycodes palearis,Wattled eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,254585,3140,Species,,,,,,,
Lycodes polaris,Lycodes polaris,Canadian eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,127111,3142,Species,,,,,,,
Lycodes raridens,Lycodes raridens,Marbled eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,254598,48262,Species,,,,,,,
Lycodes reticulatus,Lycodes reticulatus,Arctic eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,127112,3143,Species,,,,,,,
Lycodes turneri,Lycodes turneri,Polar eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,Species,254599,3146,Species,,,,,,,
Lycodema barbatum,Lyconema barbatum,Bearded eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lyconema,Species,281449,3148,Species,,,,,,,
Lyconema barbatum,Lyconema barbatum,Bearded eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lyconema,Species,281449,3148,Species,,,,,,,
Lyopsetta exilis,Lyopsetta exilis,Slender sole,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Lyopsetta,Species,281452,4246,Species,,,,,,,
Lysiosquilla campechiensis,Lysiosquilla campechiensis,NA,Animalia,Arthropoda,Malacostraca,Stomatopoda,Lysiosquillidae,Lysiosquilla,Species,409033,NA,Species,,,,,,,
Lysiosquilla scabricauda,Lysiosquilla scabricauda,Smooth mantis shrimp,Animalia,Arthropoda,Malacostraca,Stomatopoda,Lysiosquillidae,Lysiosquilla,Species,409037,NA,Species,,,,,,,
Lysmata,Lysmata,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Lysmatidae,Lysmata,Genus,106992,NA,remove,,,,,,,
Lysmata ankeri,Lysmata ankeri,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Lysmatidae,Lysmata,Species,515360,NA,Species,,,,,,,
Lysmata pederseni,Lysmata pederseni,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Lysmatidae,Lysmata,Species,421780,NA,Species,,,,,,,
Lysmata rathbunae,Lysmata rathbunae,Rathbun cleaner shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Lysmatidae,Lysmata,Species,421781,NA,Species,,,,,,,
Lysmata wurdemanni,Lysmata wurdemanni,Peppermint shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Lysmatidae,Lysmata,Species,158365,NA,Species,,,,,,,
Lytechinus,Lytechinus,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,Genus,240777,NA,remove,,,,,,,
Lytechinus euerces,Lytechinus euerces,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,Species,422488,NA,Species,,,,,,,
Lytechinus anamesus,Lytechinus pictus,White sea urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,Species,513378,NA,Species,,,,,,,
Lytechinus variegatus,Lytechinus variegatus,Variegated sea urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,Species,367850,NA,Species,,,,,,,
Lytechinus variegatus carolinus,Lytechinus variegatus carolinus,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,Species,422800,NA,Species,,,,,,,
Macoma,Macoma,NA,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Genus,138531,NA,remove,,,,,,,
Macoma sp.,Macoma,NA,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Genus,138531,NA,remove,,,,,,,
Macoma brota,Macoma brota,Heavy macoma,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Species,254466,NA,Species,,,,,,,
Macoma calcarea,Macoma calcarea,Chalky macoma,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Species,141580,NA,Species,,,,,,,
Macoma inquinata,Macoma inquinata,Pointed macoma,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Species,582759,NA,Species,,,,,,,
Macoma nasuta,Macoma nasuta,Bent nose macoma,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Species,582761,NA,Species,,,,,,,
Macoma pulleyi,Macoploma pulleyi,Delta macoma,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Species,879981,NA,Species,,,,,,,
Macoploma pulleyi,Macoploma pulleyi,Delta macoma,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Species,879981,NA,Species,,,,,,,
Macoma yoldiformis,Macoploma yoldiformis,Yoldia macoma,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Species,879988,NA,Species,,,,,,,
Macoploma yoldiformis,Macoploma yoldiformis,Yoldia macoma,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Species,879988,NA,Species,,,,,,,
Macrocoeloma,Macrocoeloma,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Macrocoeloma,Genus,415593,NA,remove,,,,,,,
Macrocoeloma camptocerum,Macrocoeloma camptocerum,Florida decorator crab,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Macrocoeloma,Species,421974,NA,Species,,,,,,,
Macrocoeloma eutheca,Macrocoeloma eutheca,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Macrocoeloma,Species,421977,NA,Species,,,,,,,
Macrocoeloma nodipes,Macrocoeloma nodipes,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Macrocoeloma,Species,442099,NA,Species,,,,,,,
Macrocoeloma trispinosum,Macrocoeloma trispinosum,Spongy decorator crab,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Macrocoeloma,Species,421982,NA,Species,,,,,,,
Cypraea cervus,Macrocypraea cervus,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Cypraea,Species,419722,NA,Species,,,,,,,
Macrocypraea cervus,Macrocypraea cervus,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Cypraea,Species,419722,NA,Species,,,,,,,
Macropinna microstoma,Macropinna microstoma,Barreleye,Animalia,Chordata,Teleostei,Argentiniformes,Opisthoproctidae,Macropinna,Species,281482,2704,Species,,,,,,,
Macrorhamphosus scolopax,Macroramphosus scolopax,Longspine snipefish,Animalia,Chordata,Teleostei,Syngnathiformes,Centriscidae,Macrorhamphosus,Species,127378,333,Species,,,,,,,
Macroregonia macrochira,Macroregonia macrochira,Long clawed spider crab,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Macroregonia,Species,442169,NA,Species,,,,,,,
Strombus costatus,Macrostrombus costatus,Milk conch,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Strombus,Species,1429775,NA,Species,,,,,,,
Macrostrombus costatus,Macrostrombus costatus,Milk conch,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Strombus,Species,1429775,NA,Species,,,,,,,
Macrouridae,Macrouridae,Grenadiers,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,NA,Family,125471,NA,remove,,,,,,,
Macrourus berglax,Macrourus berglax,Roughhead grenadier,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Macrourus,Species,126472,331,Species,,,,,,,
Mactromeris,Mactromeris,NA,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactromeris,Genus,156862,NA,remove,,,,,,,
Mactromeris sp.,Mactromeris,NA,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactromeris,Genus,156862,NA,remove,,,,,,,
Mactromeris polynyma,Mactromeris polynyma,Arctic surfclam,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactromeris,Species,156863,NA,Species,,,,,,,
Madracis,Madracis,NA,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Madracis,Genus,135125,NA,remove,,,,,,,
Magnisudis atlantica,Magnisudis atlantica,Duckbill barracudina,Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,Magnisudis,Species,126359,2727,Species,,,,,,,
Mithrax spinosissimus,Maguimithrax spinosissimus,Channel clinging crab,Animalia,Arthropoda,Malacostraca,Decapoda,Mithracidae,Mithrax,Species,987079,NA,Species,,,,,,,
Majidae,Majidae,Spider crabs,Animalia,Arthropoda,Malacostraca,Decapoda,Majidae,NA,Family,106760,NA,remove,,,,,,,
Malacanthidae,Malacanthidae,Tilefishes,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,NA,Family,151447,NA,remove,,,,,,,
Malacanthus plumieri,Malacanthus plumieri,Sand tilefish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,Malacanthus,Species,277261,3541,Species,,,,,,,
Malacocephalus laevis,Malacocephalus laevis,Softhead grenadier,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Malacocephalus,Species,272392,4989,Species,,,,,,,
Malacocephalus occidentalis,Malacocephalus occidentalis,Western softhead grenadier,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Malacocephalus,Species,158741,4990,Species,,,,,,,
Malacocottus,Malacocottus,NA,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus,Genus,254405,NA,remove,,,,,,,
Malacocottus sp.,Malacocottus,NA,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus,Genus,254405,NA,remove,,,,,,,
Malacocottus aleuticus,Malacocottus aleuticus,Whitetail sculpin,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus,Species,279440,50813,Species,,,,,,,
Malacocottus kincaidi,Malacocottus kincaidi,Blackfin sculpin,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus,Species,279442,4113,Species,,,,,,,
Malacocottus zonurus,Malacocottus zonurus,Darkfin sculpin,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus,Species,254406,11730,Species,,,,,,,
Malacoraja senta,Malacoraja senta,Smooth skate,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Malacoraja,Species,158554,2568,Species,,,,,,,
Malacosteinae,Malacosteinae,Loosejaw unid.,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,NA,SubFamily,154693,NA,remove,,,,,,,
Maldanidae,Maldanidae,Bamboo worms,Animalia,Annelida,Polychaeta,NA,Maldanidae,NA,Family,923,NA,remove,,,,,,,
Malleus candeanus,Malleus candeanus,Caribbean hammer-oyster,Animalia,Mollusca,Bivalvia,Ostreida,Malleidae,Malleus,Species,420738,NA,Species,,,,,,,
Mallotus catervarius,Mallotus villosus,Capelin,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,Species,126735,252,Species,,,,,,,
Mallotus villosus,Mallotus villosus,Capelin,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,Species,126735,252,Species,,,,,,,
Mangelia carlottae,Mangelia carlottae,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Mangelia,Species,434330,NA,Species,,,,,,,
Manucomplanus,Manucomplanus,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Manucomplanus,Genus,366517,NA,remove,,,,,,,
Manucomplanus corallinus,Manucomplanus ungulatus,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Manucomplanus,Species,366521,NA,Species,,,,,,,
Manucomplanus ungulatus,Manucomplanus ungulatus,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Manucomplanus,Species,366521,NA,Species,,,,,,,
Margarites,Margarites,Margarite snails,Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Genus,138592,NA,remove,,,,,,,
Margarites sp.,Margarites,Margarite snails,Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Genus,138592,NA,remove,,,,,,,
Margarites costalis,Margarites costalis,Boreal rosy margarite,Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Species,141819,NA,Species,,,,,,,
Margarites argentatus,Margarites olivaceus,NA,Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Species,141822,NA,Species,,,,,,,
Margarites olivaceus,Margarites olivaceus,NA,Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Species,141822,NA,Species,,,,,,,
Margarites pupillus,Margarites pupillus,Little margarite,Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Species,528731,NA,Species,,,,,,,
Margarites sp. C (Clark and McLean),Margarites sp. C (Clark and McLean),silvery margarite,NA,NA,NA,NA,NA,NA,Species,NA,NA,Species,,,,,,,
Lamellaria perspicua,Marsenia perspicua,Transparent lamellaria,Animalia,Mollusca,Gastropoda,Littorinimorpha,Velutinidae,Lamellaria,Species,1505994,NA,Species,,,,,,,
Maulisia,Maulisia,NA,Animalia,Chordata,Teleostei,Alepocephaliformes,Platytroctidae,Maulisia,Genus,125902,NA,remove,,,,,,,
Maulisia sp.,Maulisia,NA,Animalia,Chordata,Teleostei,Alepocephaliformes,Platytroctidae,Maulisia,Genus,125902,NA,remove,,,,,,,
Maulisia mauli,Maulisia mauli,Maul's searsid,Animalia,Chordata,Teleostei,Alepocephaliformes,Platytroctidae,Maulisia,Species,126742,10151,Species,,,,,,,
Maurolicus weitzmani,Maurolicus weitzmani,Atlantic pearlside,Animalia,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Maurolicus,Species,158838,51611,Species,,,,,,,
Mediaster,Mediaster,NA,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Genus,123298,NA,remove,,,,,,,
Mediaster sp.,Mediaster,NA,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Genus,123298,NA,remove,,,,,,,
Mediaster aequalis,Mediaster aequalis,Vermillion star,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Species,242160,NA,Species,,,,,,,
Mediaster tenellus,Mediaster tenellus,Delicate star,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Species,368837,NA,Species,,,,,,,
Megalobrachium,Megalobrachium,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Megalobrachium,Genus,415614,NA,remove,,,,,,,
Megalobrachium soriatum,Megalobrachium soriatum,Pentagonal porcelain crab,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Megalobrachium,Species,421865,NA,Species,,,,,,,
Megalocottus platycephalus,Megalocottus platycephalus,Belligerent sculpin,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Megalocottus,Species,254411,4114,Species,,,,,,,
Megalops atlanticus,Megalops atlanticus,Tarpon,Animalia,Chordata,Teleostei,Elopiformes,Megalopidae,Megalops,Species,126430,1079,Species,,,,,,,
Megangulus bodegensis,Megangulus bodegensis,NA,NA,NA,NA,NA,NA,NA,Species,878288,NA,Species,,,,,,,
Tellina lutea,Megangulus luteus,Alaskan great tellin,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina,Species,423511,NA,Species,,,,,,,
Megangulus luteus,Megangulus luteus,Alaskan great tellin,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina,Species,423511,NA,Species,,,,,,,
Macrocallista maculata,Megapitaria maculata,Calico clam,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Macrocallista,Species,863029,NA,Species,,,,,,,
Megapitaria maculata,Megapitaria maculata,Calico clam,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Macrocallista,Species,863029,NA,Species,,,,,,,
Megasurcula,Megasurcula,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Pseudomelatomidae,Megasurcula,Genus,432503,NA,remove,,,,,,,
Megasurcula carpenteriana,Megasurcula carpenteriana,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Pseudomelatomidae,Megasurcula,Species,579016,NA,Species,,,,,,,
Megayoldia thraciaeformis,Megayoldia thraciaeformis,Broad yoldia,Animalia,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Megayoldia,Species,141983,NA,Species,,,,,,,
Meiosquilla,Meiosquilla,NA,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Meiosquilla,Genus,148536,NA,remove,,,,,,,
Meiosquilla quadridens,Meiosquilla quadridens,NA,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Meiosquilla,Species,409280,NA,Species,,,,,,,
Melamphaes lugubris,Melamphaes lugubris,Highsnout melamphid,Animalia,Chordata,Teleostei,Beryciformes,Melamphaidae,Melamphaes,Species,274932,16586,Species,,,,,,,
Melamphaidae,Melamphaidae,Bigscale fishes,Animalia,Chordata,Teleostei,Beryciformes,Melamphaidae,NA,Family,125599,NA,remove,,,,,,,
Melanocetus johnsonii,Melanocetus johnsonii,Humpback anglerfish,Animalia,Chordata,Teleostei,Lophiiformes,Melanocetidae,Melanocetus,Species,126556,2292,Species,,,,,,,
Melanogrammus aeglefinus,Melanogrammus aeglefinus,Haddock,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Melanogrammus,Species,126437,1381,Species,,,,,,,
Melanonidae,Melanonidae,NA,Animalia,Chordata,Teleostei,Gadiformes,Melanonidae,NA,Family,125472,NA,remove,,,,,,,
Melanonus zugmayeri,Melanonus zugmayeri,Arrowtail,Animalia,Chordata,Teleostei,Gadiformes,Melanonidae,Melanonus,Species,126483,5118,Species,,,,,,,
Melanostigma atlanticum,Melanostigma atlanticum,Atlantic soft pout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Melanostigma,Species,127120,3150,Species,,,,,,,
Melanostigma pammelas,Melanostigma pammelas,Midwater eelpout,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Melanostigma,Species,274134,5156,Species,,,,,,,
Melanostomiinae,Melanostomiinae,Scaleless dragonfish unid.,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,NA,SubFamily,154229,NA,remove,,,,,,,
Mellita,Mellita,NA,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Mellitidae,Mellita,Genus,158064,NA,remove,,,,,,,
Mellita quinquesperforata,Mellita quinquiesperforata,Keyhole sand dollar,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Mellitidae,Mellita,Species,158065,NA,Species,,,,,,,
Mellita testudinata,Mellita quinquiesperforata,Keyhole sand dollar,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Mellitidae,Mellita,Species,158065,NA,Species,,,,,,,
Mellita quinquiesperforata,Mellita quinquiesperforata,Keyhole sand dollar,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Mellitidae,Mellita,Species,158065,NA,Species,,,,,,,
Melongenidae,Melongenidae,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Melongenidae,NA,Family,160182,NA,remove,,,,,,,
Membras martinica,Membras martinica,Rough silverside,Animalia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Membras,Species,159220,3240,Species,,,,,,,
Menidia beryllina,Menidia beryllina,Inland silverside,Animalia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Menidia,Species,159227,3241,Species,,,,,,,
Menidia menidia,Menidia menidia,Atlantic silverside,Animalia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Menidia,Species,159228,339,Species,,,,,,,
Menippe,Menippe,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe,Genus,205910,NA,remove,,,,,,,
Menippe adina,Menippe adina,Gulf stone crab,Animalia,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe,Species,422069,NA,Species,,,,,,,
Menippe mercenaria,Menippe mercenaria,Florida stone crab,Animalia,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe,Species,422070,NA,Species,,,,,,,
Menticirrhus americanus,Menticirrhus americanus,Southern kingfish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Menticirrhus,Species,159326,409,Species,,,,,,,
Menticirrhus littoralis,Menticirrhus littoralis,Gulf kingfish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Menticirrhus,Species,159327,411,Species,,,,,,,
Menticirrhus saxatilis,Menticirrhus saxatilis,Northern kingfish,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Menticirrhus,Species,159329,410,Species,,,,,,,
Meoma ventricosa,Meoma ventricosa,Red heart urchin,Animalia,Echinodermata,Echinoidea,Spatangoida,Brissidae,Meoma,Species,367846,NA,Species,,,,,,,
Meoma ventricosa ventricosa,Meoma ventricosa ventricosa,NA,Animalia,Echinodermata,Echinoidea,Spatangoida,Brissidae,Meoma,Species,422804,NA,Species,,,,,,,
Mercenaria,Mercenaria,NA,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,Genus,138642,NA,remove,,,,,,,
Mercenaria campechiensis,Mercenaria campechiensis,Southern hardshell clam,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,Species,422678,NA,Species,,,,,,,
Mercenaria mercenaria,Mercenaria mercenaria,Northern quahog,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,Species,141919,NA,Species,,,,,,,
Merlucciidae,Merlucciidae,Merluccid hakes,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,NA,Family,125473,NA,remove,,,,,,,
Merluccius sp,Merluccius,NA,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,Genus,125762,NA,remove,,,,,,,
Merluccius albidus,Merluccius albidus,Offshore hake,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,Species,158748,1080,Species,,,,,,,
Merluccius bilinearis,Merluccius bilinearis,Silver hake,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,Species,158962,323,Species,,,,,,,
Merluccius productus,Merluccius productus,Pacific hake,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,Species,272458,326,Species,,,,,,,
Strongylocentrotus franciscanus,Mesocentrotus franciscanus,Red sea urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Species,591102,NA,Species,,,,,,,
Mesocentrotus franciscanus,Mesocentrotus franciscanus,Red sea urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Species,591102,NA,Species,,,,,,,
Mesopenaeus tropicalis,Mesopenaeus tropicalis,Salmon shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Mesopenaeus,Species,377474,NA,Species,,,,,,,
Cancer anthonyi,Metacarcinus anthonyi,Yellow rock crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Species,440385,NA,Species,,,,,,,
Cancer gracilis,Metacarcinus gracilis,Graceful rock crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Species,440387,NA,Species,,,,,,,
Metacarcinus gracilis,Metacarcinus gracilis,Graceful rock crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Species,440387,NA,Species,,,,,,,
Cancer magister,Metacarcinus magister,Dungeness crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Species,440388,NA,Species,,,,,,,
Metacarcinus magister,Metacarcinus magister,Dungeness crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Species,440388,NA,Species,,,,,,,
Metacrangon,Metacrangon,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Metacrangon,Genus,107008,NA,remove,,,,,,,
Metacrangon sp.,Metacrangon,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Metacrangon,Genus,107008,NA,remove,,,,,,,
Metacrangon variabilis,Metacrangon variabilis,Deepsea spinyhead,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Metacrangon,Species,515746,NA,Species,,,,,,,
Metapenaeopsis,Metapenaeopsis,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeopsis,Genus,106817,NA,remove,,,,,,,
Metapenaeopsis goodei,Metapenaeopsis goodei,Caribbean velvet shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeopsis,Species,377493,NA,Species,,,,,,,
Metoporhaphis,Metoporhaphis,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Inachidae,Metoporhaphis,Genus,415630,NA,remove,,,,,,,
Metoporhaphis calcarata,Metoporhaphis calcarata,False arrow crab,Animalia,Arthropoda,Malacostraca,Decapoda,Inachidae,Metoporhaphis,Species,421950,NA,Species,,,,,,,
Metridium,Metridium,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,Genus,100770,NA,remove,,,,,,,
Metridium sp.,Metridium,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,Genus,100770,NA,remove,,,,,,,
Metridium farcimen,Metridium farcimen,Giant plumose anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,Species,283704,NA,Species,,,,,,,
Metridium farcimen (=metridium giganteum),Metridium farcimen,Giant plumose anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,Species,283704,NA,Species,,,,,,,
