"","region","name","common"
"868","West Coast Annual","Beringraja stellulata","Starry skate"
"869","West Coast Annual","Rathbunaster californicus","Deep-sea sun star"
"870","West Coast Annual","Red striated anemone","Na"
"871","West Coast Annual","Rossia pacifica","Eastern pacific bobtail"
"872","West Coast Annual","Sagamichthys abei","Shining tubeshoulder"
"873","West Coast Annual","Scorpaena guttata","California scorpionfish"
"874","West Coast Annual","Sebastes alutus","Pacific ocean perch"
"875","West Coast Annual","Sebastes auriculatus","Brown rockfish"
"876","West Coast Annual","Sebastes aurora","Aurora rockfish"
"877","West Coast Annual","Sebastes babcocki","Redbanded rockfish"
"878","West Coast Annual","Sebastes brevispinis","Silvergray rockfish"
"879","West Coast Annual","Sebastes caurinus","Copper rockfish"
"880","West Coast Annual","Sebastes chlorostictus","Greenspotted rockfish"
"881","West Coast Annual","Sebastes crameri","Darkblotched rockfish"
"882","West Coast Annual","Sebastes dallii","Calico rockfish"
"883","West Coast Annual","Sebastes diploproa","Splitnose rockfish"
"884","West Coast Annual","Sebastes elongatus","Greenstriped rockfish"
"885","West Coast Annual","Sebastes entomelas","Widow rockfish"
"886","West Coast Annual","Sebastes flavidus","Yellowtail rockfish"
"887","West Coast Annual","Sebastes goodei","Chilipepper"
"888","West Coast Annual","Sebastes helvomaculatus","Rosethorn rockfish"
"889","West Coast Annual","Sebastes hopkinsi","Squarespot rockfish"
"890","West Coast Annual","Sebastes jordani","Shortbelly rockfish"
"891","West Coast Annual","Sebastes levis","Cowcod"
"892","West Coast Annual","Sebastes melanostomus","Blackgill rockfish"
"893","West Coast Annual","Sebastes paucispinis","Bocaccio"
"894","West Coast Annual","Sebastes pinniger","Canary rockfish"
"895","West Coast Annual","Sebastes proriger","Redstripe rockfish"
"896","West Coast Annual","Sebastes rosenblatti","Greenblotched rockfish"
"897","West Coast Annual","Sebastes ruberrimus","Rasphead rockfish"
"898","West Coast Annual","Sebastes rubrivinctus","Flag rockfish"
"899","West Coast Annual","Sebastes rufus","Bank rockfish"
"900","West Coast Annual","Sebastes saxicola","Stripetail rockfish"
"901","West Coast Annual","Sebastes semicinctus","Halfbanded rockfish"
"902","West Coast Annual","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish"
"903","West Coast Annual","Sebastes miniatus and S. crocotulus","Vermillion and Sunset rockfish"
"904","West Coast Annual","Sebastes wilsoni","Pygmy rockfish"
"905","West Coast Annual","Sebastes zacentrus","Sharpchin rockfish"
"906","West Coast Annual","Sebastolobus alascanus","Shortspine thornyhead"
"907","West Coast Annual","Sebastolobus altivelis","Longspine thornyhead"
"908","West Coast Annual","Sicyonia ingentis","Ridgeback rock shrimp"
"909","West Coast Annual","Spatangus californicus","Na"
"910","West Coast Annual","Squalus suckleyi","Pacific spiny dogfish"
"911","West Coast Annual","Stegophiura ponderosa","Sea star"
"912","West Coast Annual","Stomias atriventer","Black-belly dragonfish"
"913","West Coast Annual","Stylasterias forreri","Velcro star"
"914","West Coast Annual","Synodus lucioceps","California lizardfish"
"915","West Coast Annual","Tactostoma macropus","Longfin dragonfish"
"916","West Coast Annual","Talismania bifurcata","Threadfin slickhead"
"917","West Coast Annual","Thaleichthys pacificus","Eulachon"
"918","West Coast Annual","Thrissacanthias penicillatus","Sea star"
"919","West Coast Annual","Torpedo californica","Pacific electric ray"
"920","West Coast Annual","Tritonia diomedea","Rosy tritonia"
"921","West Coast Annual","Vampyroteuthis infernalis","Vampire squid"
"922","West Coast Annual","Xeneretmus latifrons","Blacktip poacher"
"923","West Coast Annual","Zalembius rosaceus","Pink seaperch"
"924","West Coast Annual","Zaniolepis frenata","Shortspine combfish"
"925","West Coast Annual","Zaniolepis latipinnis","Longspine combfish"
"926","West Coast Annual","Sagenaster evermanni","Sea star"
"927","West Coast Triennial","Allosmerus elongatus","Whitebait smelt"
"928","West Coast Triennial","Alosa sapidissima","American shad"
"929","West Coast Triennial","Anoplopoma fimbria","Sablefish"
"930","West Coast Triennial","Apristurus brunneus","Brown cat shark"
"931","West Coast Triennial","Atheresthes stomias","Arrowtooth flounder"
"932","West Coast Triennial","Bathyraja spp.","Skate complex"
"933","West Coast Triennial","Metacarcinus magister","Dungeness crab"
"934","West Coast Triennial","Chilara taylori","Spotted cusk-eel"
"935","West Coast Triennial","Citharichthys sordidus","Pacific sanddab"
"936","West Coast Triennial","Clupea pallasii","Pacific herring"
"937","West Coast Triennial","Engraulis mordax","Northern anchovy"
"938","West Coast Triennial","Eopsetta jordani","Petrale sole"
"939","West Coast Triennial","Gadus macrocephalus","Pacific cod"
"940","West Coast Triennial","Genyonemus lineatus","White croaker"
"941","West Coast Triennial","Glyptocephalus zachirus","Rex sole"
"942","West Coast Triennial","Gorgonocephalus eucnemis","Basket star"
"943","West Coast Triennial","Hippoglossoides elassodon","Flathead sole"
"944","West Coast Triennial","Hippoglossus stenolepis","Pacific halibut"
"945","West Coast Triennial","Hydrolagus colliei","Spotted ratfish"
"946","West Coast Triennial","Icelinus filamentosus","Threadfin sculpin"
"947","West Coast Triennial","Isopsetta isolepis","Butter sole"
"948","West Coast Triennial","Lepidopsetta sp.","Rock soles"
"949","West Coast Triennial","Leptocottus armatus","Pacific staghorn sculpin"
"950","West Coast Triennial","Doryteuthis (Loligo) opalescens","California market squid"
"951","West Coast Triennial","Lopholithodes foraminatus","Brown box crab"
"952","West Coast Triennial","Lycodes cortezianus","Bigfin eelpout"
"953","West Coast Triennial","Lycodes diapterus","Black eelpout"
"954","West Coast Triennial","Lyopsetta exilis","Slender sole"
"955","West Coast Triennial","Merluccius productus","Pacific hake"
"956","West Coast Triennial","Microgadus proximus","Pacific tomcod"
"957","West Coast Triennial","Microstomus pacificus","Dover sole"
"958","West Coast Triennial","Oncorhynchus tshawytscha","Chinook salmon"
"959","West Coast Triennial","Ophiodon elongatus","Lingcod"
"960","West Coast Triennial","Pandalopsis dispar","Sidestripe shrimp"
"961","West Coast Triennial","Pandalus jordani","Ocean shrimp"
"962","West Coast Triennial","Pandalus platyceros","Spot shrimp"
"963","West Coast Triennial","Parophrys vetulus","English sole"
"964","West Coast Triennial","Pleuronichthys decurrens","Curlfin sole"
"965","West Coast Triennial","Porichthys notatus","Plainfin midshipman"
"966","West Coast Triennial","Beringraja binoculata","Big skate"
"967","West Coast Triennial","Beringraja rhina","Longnose skate"
"968","West Coast Triennial","Sebastes alutus","Pacific ocean perch"
"969","West Coast Triennial","Sebastes babcocki","Redbanded rockfish"
"970","West Coast Triennial","Sebastes chlorostictus","Greenspotted rockfish"
"971","West Coast Triennial","Sebastes crameri","Darkblotched rockfish"
"972","West Coast Triennial","Sebastes diploproa","Splitnose rockfish"
"973","West Coast Triennial","Sebastes elongatus","Greenstriped rockfish"
"974","West Coast Triennial","Sebastes entomelas","Widow rockfish"
"975","West Coast Triennial","Sebastes flavidus","Yellowtail rockfish"
"976","West Coast Triennial","Sebastes goodei","Chilipepper"
"977","West Coast Triennial","Sebastes helvomaculatus","Rosethorn rockfish"
"978","West Coast Triennial","Sebastes jordani","Shortbelly rockfish"
"979","West Coast Triennial","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish"
"980","West Coast Triennial","Sebastes paucispinis","Bocaccio"
"981","West Coast Triennial","Sebastes pinniger","Canary rockfish"
"982","West Coast Triennial","Sebastes proriger","Redstripe rockfish"
"983","West Coast Triennial","Sebastes reedi","Yellowmouth rockfish"
"984","West Coast Triennial","Sebastes ruberrimus","Rasphead rockfish"
"985","West Coast Triennial","Sebastes rufus","Bank rockfish"
"986","West Coast Triennial","Sebastes saxicola","Stripetail rockfish"
"987","West Coast Triennial","Sebastes wilsoni","Pygmy rockfish"
"988","West Coast Triennial","Sebastes zacentrus","Sharpchin rockfish"
"989","West Coast Triennial","Sebastolobus alascanus","Shortspine thornyhead"
"990","West Coast Triennial","Squalus suckleyi","Pacific spiny dogfish"
"991","West Coast Triennial","Thaleichthys pacificus","Eulachon"
"992","West Coast Triennial","Gadus chalcogrammus","Walleye pollock"
"993","West Coast Triennial","Torpedo californica","Pacific electric ray"
"994","West Coast Triennial","Trachurus symmetricus","Jack mackerel"
"995","West Coast Triennial","Zalembius rosaceus","Pink seaperch"
